patid	JK_index	path
DTB-003-BL	1	/mSV/Quigley/CN/DTB-003-BL_copycat.bed
DTB-005-BL	2	/mSV/Quigley/CN/DTB-005-BL_copycat.bed
DTB-008-BL	3	/mSV/Quigley/CN/DTB-008-BL_copycat.bed
DTB-009-BL	4	/mSV/Quigley/CN/DTB-009-BL_copycat.bed
DTB-011-BL	5	/mSV/Quigley/CN/DTB-011-BL_copycat.bed
DTB-018-BL	6	/mSV/Quigley/CN/DTB-018-BL_copycat.bed
DTB-019-PRO	7	/mSV/Quigley/CN/DTB-019-PRO_copycat.bed
DTB-020-BL	8	/mSV/Quigley/CN/DTB-020-BL_copycat.bed
DTB-021-BL	9	/mSV/Quigley/CN/DTB-021-BL_copycat.bed
DTB-022-BL	10	/mSV/Quigley/CN/DTB-022-BL_copycat.bed
DTB-023-BL	11	/mSV/Quigley/CN/DTB-023-BL_copycat.bed
DTB-024-PRO	12	/mSV/Quigley/CN/DTB-024-PRO_copycat.bed
DTB-034-BL	13	/mSV/Quigley/CN/DTB-034-BL_copycat.bed
DTB-035-BL	14	/mSV/Quigley/CN/DTB-035-BL_copycat.bed
DTB-036-BL	15	/mSV/Quigley/CN/DTB-036-BL_copycat.bed
DTB-037-BL	16	/mSV/Quigley/CN/DTB-037-BL_copycat.bed
DTB-040-BL	17	/mSV/Quigley/CN/DTB-040-BL_copycat.bed
DTB-042-BL	18	/mSV/Quigley/CN/DTB-042-BL_copycat.bed
DTB-053-BL	19	/mSV/Quigley/CN/DTB-053-BL_copycat.bed
DTB-055-PRO	20	/mSV/Quigley/CN/DTB-055-PRO_copycat.bed
DTB-059-BL	21	/mSV/Quigley/CN/DTB-059-BL_copycat.bed
DTB-060-BL	22	/mSV/Quigley/CN/DTB-060-BL_copycat.bed
DTB-061-BL	23	/mSV/Quigley/CN/DTB-061-BL_copycat.bed
DTB-063-BL	24	/mSV/Quigley/CN/DTB-063-BL_copycat.bed
DTB-064-BL	25	/mSV/Quigley/CN/DTB-064-BL_copycat.bed
DTB-067-PRO	26	/mSV/Quigley/CN/DTB-067-PRO_copycat.bed
DTB-069-BL	27	/mSV/Quigley/CN/DTB-069-BL_copycat.bed
DTB-071-BL	28	/mSV/Quigley/CN/DTB-071-BL_copycat.bed
DTB-074-BL	29	/mSV/Quigley/CN/DTB-074-BL_copycat.bed
DTB-077-PRO	30	/mSV/Quigley/CN/DTB-077-PRO_copycat.bed
DTB-080-BL	31	/mSV/Quigley/CN/DTB-080-BL_copycat.bed
DTB-083-BL	32	/mSV/Quigley/CN/DTB-083-BL_copycat.bed
DTB-085-BL	33	/mSV/Quigley/CN/DTB-085-BL_copycat.bed
DTB-089-BL	34	/mSV/Quigley/CN/DTB-089-BL_copycat.bed
DTB-090-PRO	35	/mSV/Quigley/CN/DTB-090-PRO_copycat.bed
DTB-091-BL	36	/mSV/Quigley/CN/DTB-091-BL_copycat.bed
DTB-092-BL	37	/mSV/Quigley/CN/DTB-092-BL_copycat.bed
DTB-094-BL	38	/mSV/Quigley/CN/DTB-094-BL_copycat.bed
DTB-097-PRO	39	/mSV/Quigley/CN/DTB-097-PRO_copycat.bed
DTB-098-PRO2	40	/mSV/Quigley/CN/DTB-098-PRO2_copycat.bed
DTB-100-BL	41	/mSV/Quigley/CN/DTB-100-BL_copycat.bed
DTB-101-BL	42	/mSV/Quigley/CN/DTB-101-BL_copycat.bed
DTB-102-PRO	43	/mSV/Quigley/CN/DTB-102-PRO_copycat.bed
DTB-104-BL	44	/mSV/Quigley/CN/DTB-104-BL_copycat.bed
DTB-111-PRO	45	/mSV/Quigley/CN/DTB-111-PRO_copycat.bed
DTB-112-BL	46	/mSV/Quigley/CN/DTB-112-BL_copycat.bed
DTB-119-PRO	47	/mSV/Quigley/CN/DTB-119-PRO_copycat.bed
DTB-121-BL	48	/mSV/Quigley/CN/DTB-121-BL_copycat.bed
DTB-124-BL	49	/mSV/Quigley/CN/DTB-124-BL_copycat.bed
DTB-126-BL	50	/mSV/Quigley/CN/DTB-126-BL_copycat.bed
DTB-127-PRO	51	/mSV/Quigley/CN/DTB-127-PRO_copycat.bed
DTB-128-BL	52	/mSV/Quigley/CN/DTB-128-BL_copycat.bed
DTB-129-BL	53	/mSV/Quigley/CN/DTB-129-BL_copycat.bed
DTB-132-BL	54	/mSV/Quigley/CN/DTB-132-BL_copycat.bed
DTB-135-PRO	55	/mSV/Quigley/CN/DTB-135-PRO_copycat.bed
DTB-137-PRO	56	/mSV/Quigley/CN/DTB-137-PRO_copycat.bed
DTB-138-BL	57	/mSV/Quigley/CN/DTB-138-BL_copycat.bed
DTB-140-BL	58	/mSV/Quigley/CN/DTB-140-BL_copycat.bed
DTB-141-BL	59	/mSV/Quigley/CN/DTB-141-BL_copycat.bed
DTB-143-BL	60	/mSV/Quigley/CN/DTB-143-BL_copycat.bed
DTB-146-BL	61	/mSV/Quigley/CN/DTB-146-BL_copycat.bed
DTB-149-BL	62	/mSV/Quigley/CN/DTB-149-BL_copycat.bed
DTB-151-BL	63	/mSV/Quigley/CN/DTB-151-BL_copycat.bed
DTB-156-BL	64	/mSV/Quigley/CN/DTB-156-BL_copycat.bed
DTB-159-BL	65	/mSV/Quigley/CN/DTB-159-BL_copycat.bed
DTB-165-PRO	66	/mSV/Quigley/CN/DTB-165-PRO_copycat.bed
DTB-167-PRO	67	/mSV/Quigley/CN/DTB-167-PRO_copycat.bed
DTB-170-BL	68	/mSV/Quigley/CN/DTB-170-BL_copycat.bed
DTB-172-BL	69	/mSV/Quigley/CN/DTB-172-BL_copycat.bed
DTB-173-BL	70	/mSV/Quigley/CN/DTB-173-BL_copycat.bed
DTB-175-BL	71	/mSV/Quigley/CN/DTB-175-BL_copycat.bed
DTB-176-BL	72	/mSV/Quigley/CN/DTB-176-BL_copycat.bed
DTB-183-BL	73	/mSV/Quigley/CN/DTB-183-BL_copycat.bed
DTB-186-BL	74	/mSV/Quigley/CN/DTB-186-BL_copycat.bed
DTB-187-BL	75	/mSV/Quigley/CN/DTB-187-BL_copycat.bed
DTB-188-BL	76	/mSV/Quigley/CN/DTB-188-BL_copycat.bed
DTB-190-BL	77	/mSV/Quigley/CN/DTB-190-BL_copycat.bed
DTB-193-BL	78	/mSV/Quigley/CN/DTB-193-BL_copycat.bed
DTB-194-PRO	79	/mSV/Quigley/CN/DTB-194-PRO_copycat.bed
DTB-201-PRO	80	/mSV/Quigley/CN/DTB-201-PRO_copycat.bed
DTB-202-BL	81	/mSV/Quigley/CN/DTB-202-BL_copycat.bed
DTB-204-BL	82	/mSV/Quigley/CN/DTB-204-BL_copycat.bed
DTB-205-BL	83	/mSV/Quigley/CN/DTB-205-BL_copycat.bed
DTB-206-BL	84	/mSV/Quigley/CN/DTB-206-BL_copycat.bed
DTB-210-BL	85	/mSV/Quigley/CN/DTB-210-BL_copycat.bed
DTB-213-BL	86	/mSV/Quigley/CN/DTB-213-BL_copycat.bed
DTB-214-BL	87	/mSV/Quigley/CN/DTB-214-BL_copycat.bed
DTB-216-PRO	88	/mSV/Quigley/CN/DTB-216-PRO_copycat.bed
DTB-220-BL	89	/mSV/Quigley/CN/DTB-220-BL_copycat.bed
DTB-222-BL	90	/mSV/Quigley/CN/DTB-222-BL_copycat.bed
DTB-223-BL	91	/mSV/Quigley/CN/DTB-223-BL_copycat.bed
DTB-232-PRO	92	/mSV/Quigley/CN/DTB-232-PRO_copycat.bed
DTB-234-BL	93	/mSV/Quigley/CN/DTB-234-BL_copycat.bed
DTB-251-BL	94	/mSV/Quigley/CN/DTB-251-BL_copycat.bed
DTB-252-BL	95	/mSV/Quigley/CN/DTB-252-BL_copycat.bed
DTB-255-BL	96	/mSV/Quigley/CN/DTB-255-BL_copycat.bed
DTB-258-BL	97	/mSV/Quigley/CN/DTB-258-BL_copycat.bed
DTB-260-BL	98	/mSV/Quigley/CN/DTB-260-BL_copycat.bed
DTB-261-BL	99	/mSV/Quigley/CN/DTB-261-BL_copycat.bed
DTB-265-PRO	100	/mSV/Quigley/CN/DTB-265-PRO_copycat.bed
DTB-266-BL	101	/mSV/Quigley/CN/DTB-266-BL_copycat.bed
