Name	Sample	Factor	Cocat
GSM3409642	P223T	AR	GSM3409642_P223T
GSM3409643	P227T	AR	GSM3409643_P227T
GSM3409644	P228T	AR	GSM3409644_P228T
GSM3409645	P229T	AR	GSM3409645_P229T
GSM3409646	P230T	AR	GSM3409646_P230T
GSM3409647	P249T	AR	GSM3409647_P249T
GSM3409648	P252T	AR	GSM3409648_P252T
GSM3409649	P254T	AR	GSM3409649_P254T
GSM3409650	P255T	AR	GSM3409650_P255T
GSM3409651	P257T	AR	GSM3409651_P257T
GSM3409652	P261T	AR	GSM3409652_P261T
GSM3409653	P262T	AR	GSM3409653_P262T
GSM3409654	P263T	AR	GSM3409654_P263T
GSM3409655	P265T	AR	GSM3409655_P265T
GSM3409656	P266T	AR	GSM3409656_P266T
GSM3409657	P268T	AR	GSM3409657_P268T
GSM3409658	P272T	AR	GSM3409658_P272T
GSM3409659	P274T	AR	GSM3409659_P274T
GSM3409660	P276T	AR	GSM3409660_P276T
GSM3409661	P279T	AR	GSM3409661_P279T
GSM3409662	P280T	AR	GSM3409662_P280T
GSM3409663	P291T	AR	GSM3409663_P291T
GSM3409664	P294T	AR	GSM3409664_P294T
GSM3409665	P295T	AR	GSM3409665_P295T
GSM3409666	P297T	AR	GSM3409666_P297T
GSM3409667	P298T	AR	GSM3409667_P298T
GSM3409668	P300T	AR	GSM3409668_P300T
GSM3409669	P301T	AR	GSM3409669_P301T
GSM3409670	P305T	AR	GSM3409670_P305T
GSM3409671	P309T	AR	GSM3409671_P309T
GSM3409672	P310T	AR	GSM3409672_P310T
GSM3409673	P313T	AR	GSM3409673_P313T
GSM3409674	P324T	AR	GSM3409674_P324T
GSM3409675	P327T	AR	GSM3409675_P327T
GSM3409676	P328T	AR	GSM3409676_P328T
GSM3409677	P336T	AR	GSM3409677_P336T
GSM3409678	P342T	AR	GSM3409678_P342T
GSM3409679	P343T	AR	GSM3409679_P343T
GSM3409680	P348T	AR	GSM3409680_P348T
GSM3409681	P349T	AR	GSM3409681_P349T
GSM3409682	P352T	AR	GSM3409682_P352T
GSM3409683	P355T	AR	GSM3409683_P355T
GSM3409684	P416T	AR	GSM3409684_P416T
GSM3409685	P426T	AR	GSM3409685_P426T
GSM3409686	P427T	AR	GSM3409686_P427T
GSM3409687	P431T	AR	GSM3409687_P431T
GSM3409688	P433T	AR	GSM3409688_P433T
GSM3409689	P444T	AR	GSM3409689_P444T
GSM3409690	P449T	AR	GSM3409690_P449T
GSM3409691	P450T	AR	GSM3409691_P450T
GSM3409692	P452T	AR	GSM3409692_P452T
GSM3409693	P456T	AR	GSM3409693_P456T
GSM3409694	P462T	AR	GSM3409694_P462T
GSM3409695	P464T	AR	GSM3409695_P464T
GSM3409696	P466T	AR	GSM3409696_P466T
GSM3409697	P475T	AR	GSM3409697_P475T
GSM3409698	P500T	AR	GSM3409698_P500T
GSM3409699	P506T	AR	GSM3409699_P506T
GSM3409700	P507T	AR	GSM3409700_P507T
GSM3409701	P509T	AR	GSM3409701_P509T
GSM3409702	P511T	AR	GSM3409702_P511T
GSM3409703	P513T	AR	GSM3409703_P513T
GSM3409704	P527T	AR	GSM3409704_P527T
GSM3409705	P531T	AR	GSM3409705_P531T
GSM3409706	P533T	AR	GSM3409706_P533T
GSM3409707	P534T	AR	GSM3409707_P534T
GSM3409708	P536T	AR	GSM3409708_P536T
GSM3409709	P540T	AR	GSM3409709_P540T
GSM3409710	P544T	AR	GSM3409710_P544T
GSM3409711	P552T	AR	GSM3409711_P552T
GSM3409712	P555T	AR	GSM3409712_P555T
GSM3409713	P559T	AR	GSM3409713_P559T
GSM3409714	P560T	AR	GSM3409714_P560T
GSM3409715	P593T	AR	GSM3409715_P593T
GSM3409716	P603T	AR	GSM3409716_P603T
GSM3409717	P618T	AR	GSM3409717_P618T
GSM3409718	P643T	AR	GSM3409718_P643T
GSM3409719	P674T	AR	GSM3409719_P674T
GSM3409720	P680T	AR	GSM3409720_P680T
GSM3409721	P695T	AR	GSM3409721_P695T
GSM3409722	P710T	AR	GSM3409722_P710T
GSM3409723	P717T	AR	GSM3409723_P717T
GSM3409724	P730T	AR	GSM3409724_P730T
GSM3409725	P737T	AR	GSM3409725_P737T
GSM3409726	P747T	AR	GSM3409726_P747T
GSM3409727	P779T	AR	GSM3409727_P779T
GSM3409728	P811T	AR	GSM3409728_P811T
GSM3409729	P832T	AR	GSM3409729_P832T
GSM3409730	P327T	H3K27ac	GSM3409730_P327T
GSM3409731	P223T	H3K27ac	GSM3409731_P223T
GSM3409732	P227T	H3K27ac	GSM3409732_P227T
GSM3409733	P313T	H3K27ac	GSM3409733_P313T
GSM3409734	P228T	H3K27ac	GSM3409734_P228T
GSM3409735	P252T	H3K27ac	GSM3409735_P252T
GSM3409736	P257T	H3K27ac	GSM3409736_P257T
GSM3409737	P262T	H3K27ac	GSM3409737_P262T
GSM3409738	P245T	H3K27ac	GSM3409738_P245T
GSM3409739	P229T	H3K27ac	GSM3409739_P229T
GSM3409740	P255T	H3K27ac	GSM3409740_P255T
GSM3409741	P276T	H3K27ac	GSM3409741_P276T
GSM3409742	P352T	H3K27ac	GSM3409742_P352T
GSM3409743	P511T	H3K27ac	GSM3409743_P511T
GSM3409744	P513T	H3K27ac	GSM3409744_P513T
GSM3409745	P533T	H3K27ac	GSM3409745_P533T
GSM3409746	P534T	H3K27ac	GSM3409746_P534T
GSM3409747	P811T	H3K27ac	GSM3409747_P811T
GSM3409748	P466T	H3K27ac	GSM3409748_P466T
GSM3409749	P475T	H3K27ac	GSM3409749_P475T
GSM3409750	P507T	H3K27ac	GSM3409750_P507T
