"gene"	"entrez"	"MCF7"	"VCAP"	"MCF7_s"	"X22RV1"	"LNCAP_s"	"DU145"	"LNCAP_g"	"PC3"
"A1BG"	1	0.16956859	-0.08913511	-0.32087788	-0.14719411	-0.04816993	-0.16202472	-0.200977803492	0.0360692343452
"A1CF"	29974	-0.05595824	0.27034364	0.01330741	-0.06382565	-0.09040947	-0.01805328	-0.0364252125752	-0.423318935027
"A2M"	2	0.105783	-0.1012968	0.2981656	0.2858209	0.2994252	0.2066892	-0.0999077989573	-0.127640244294
"A2ML1"	144568	0.1791655	0.2658955	0.25099324	0.17018718	0.09233854	0.05583844	0.373592798785	0.550309838205
"A3GALT2"	127550	-0.023247329	-0.001831095	-0.4105533	-0.2597634	-0.2191185	-0.1848248	0.184912636657	0.249657969165
"A4GALT"	53947	0.01318124	-0.13931239	0.2522264	-0.1902874	-0.1561535	-0.1082183	-0.0415636931477	-0.395940613208
"A4GNT"	51146	0.02557901	0.36555538	0.0499074	-0.05732802	0.0270997	-0.03029008	-0.469596572808	0.0101363015686
"AAAS"	8086	-0.54070107	0.03402198	-0.26114561	-0.152168878	-0.071104203	-0.008393402	0.261606987606	0.942094294284
"AACS"	65985	0.01963883	0.18732369	-0.0001805409	0.160436986	-0.0515543474	0.0336341458	-0.108779587873	-0.0736352364667
"AADAC"	13	0.165136	0.2848433	-0.20207557	0.10748951	0.15595758	0.04224279	0.559680587062	0.690408512316
"AADACL2"	344752	0.1407081	0.182577	-0.0988906	-0.18180946	-0.05105169	-0.25895015	0.236277051096	-0.404129041074
"AADACL3"	126767	0.03994981	0.01562863	-0.134617895	-0.037915412	-0.005409289	-0.071213688	-0.129282626511	-0.372658301724
"AADACL4"	343066	0.18341472	0.08476444	0.05890452	0.13744584	0.0349507	0.05894388	0.216608460055	0.166874028345
"AADAT"	51166	-0.007003165	0.037265942	-0.0314196	-0.3436405	-0.1645263	-0.4249335	0.0383786140419	-0.267562439163
"AAED1"	195827	0.1323632	-0.1239133	-0.01298809	-0.07315219	0.05727707	-0.05860083	-0.043705386236	-0.428092515751
"AAGAB"	79719	-0.1125556	0.1056742	0.165525481	-0.004972222	-0.083404357	0.020105057	-0.225567151881	0.25526492327
"AAK1"	22848	-0.2971626	-0.1537004	-0.087314927	-0.121248644	-0.121398185	-0.009422773	0.161086028892	0.0855032110746
"AAMDC"	28971	-0.2552233	0.0151915	-0.22731888	-0.10548978	0.02457451	-0.08821244	0.380759491094	0.627975315863
"AAMP"	14	-0.5219769	-0.7826831	-0.9763823	-1.8761834	-1.426314	-1.3790075	-1.11599174177	-0.358040891494
"AANAT"	15	-0.2960263	-0.3198603	0.08557556	0.06912516	-0.05500589	-0.10900558	-0.234007010185	-0.231027771975
"AAR2"	25980	-0.01126134	-0.15419267	0.064492502	0.02251326	0.045029094	-0.007354796	0.0951278777345	0.0622981435438
"AARD"	441376	-0.3037557	-0.3062202	-0.08041217	-0.31882679	-0.2019122	-0.23615283	0.565102426503	0.609199319723
"AARS"	16	-1.622207	-2.77547	-1.859627	-1.910054	-1.592847	-1.677551	-0.587901673664	-0.996207709243
"AARS2"	57505	-0.9543379	-1.0321299	-0.7931717	-0.3751754	-0.4556943	-0.5356027	-0.687838051428	-0.18575850239
"AARSD1"	80755	-0.2534902	-0.1047549	-0.362582	-0.3134494	-0.3008422	-0.1669985	-0.023386626929	0.225533716616
"AASDH"	132949	-0.2688327	0.0418135	-0.17659186	0.06573326	-0.08285361	-0.21095533	-0.0905548895996	-0.678607333369
"AASDHPPT"	60496	-0.7670911	-0.3906906	-0.4363008	-0.479137	-0.2446942	-0.4753078	-1.27810555231	-1.09835891898
"AASS"	10157	0.09315918	0.08380677	-0.11981721	-0.20794415	-0.07607983	-0.03910307	-0.0967075328161	-0.107403321942
"AATF"	26574	-0.969774	-0.6436394	-1.15564	-0.9308534	-1.1305194	-0.9628795	0.0107295225106	0.0799004412523
"AATK"	9625	-0.1024585	-0.3166506	-0.1083136	-0.3821983	-0.3317107	-0.2201482	-0.236695381889	0.226320612798
"ABAT"	18	-0.10072122	-0.01552856	-0.05455699	0.07470812	0.17986565	-0.07723521	-0.255095075813	-0.497817532941
"ABCA1"	19	-0.214015	0.2008892	-0.004551478	-0.066273394	0.056915135	-0.153549297	0.158905483308	0.0923482779157
"ABCA10"	10349	0.30480964	0.08553803	-0.2372643	-0.175666	-0.2327998	-0.3006217	0.592531548481	0.716063986172
"ABCA12"	26154	-0.01454432	0.30591357	-0.13560695	0.23826876	0.02007617	-0.12313132	0.12256405489	0.18500472447
"ABCA13"	154664	-0.0726005	0.1707156	-0.17923351	0.15738711	0.06443614	-0.0647057	0.205769793753	0.401620520821
"ABCA2"	20	-0.0763789	-0.2642093	0.10214665	-0.04904539	0.01327057	-0.08343498	-0.249847275324	-0.521488776887
"ABCA3"	21	-0.04218331	-0.21401225	0.01841917	0.1727976	0.09320956	0.06693041	-0.298098884903	-0.307747049956
"ABCA4"	24	-0.36140331	-0.03073107	-0.4211796	-0.4842852	-0.4869998	-0.4742482	-0.120177634618	-0.0252979661384
"ABCA5"	23461	-0.3621308	-0.07009762	-0.0649414	-0.22384134	-0.05186623	-0.14030393	-0.0040082490828	-0.414401343786
"ABCA6"	23460	0.04428235	0.15885998	0.03072302	-0.17719552	-0.01761451	-0.08270059	0.281306636668	0.621703174338
"ABCA7"	10347	0.04891875	-0.20743156	0.25109014	0.20124594	0.03548454	0.14491933	-0.0884219681657	0.00721699624534
"ABCA8"	10351	-0.6492962	-0.1884561	-0.23393649	-0.08485025	-0.0717393	0.05773903	0.402033915638	0.411647455001
"ABCA9"	10350	0.1389432	0.1196298	0.1866883	0.2492468	0.1945847	0.1865349	-0.0676996398658	-0.404636632818
"ABCB1"	5243	-0.0292196	0.08049584	-0.3013784	-0.3874712	-0.262193	-0.2686919	0.2971755848	0.356743683706
"ABCB10"	23456	-0.029886	-0.55344	0.03978184	0.13369326	0.29576982	0.19855848	-0.101122386222	-0.233798681939
