gene_symbol	late_dir
PRKCA	1
TNFRSF21	-1
FOXD4L1	1
SLC44A1	-1
TMEM144	-1
C4orf18	-1
NCAPD3	1
KRT8	1
CADPS2	1
PEG3	-1
NDRG1	1
GPER	-1
ABCC4	1
SLC41A1	1
FRAP1	1
TMEM79	1
MANEA	-1
PKIB	-1
ACSL3	1
LRRN1	-1
TULP4	-1
CXCR7	-1
VTA1	-1
FSCN1	-1
WIPI1	1
FECH	1
TGM3	-1
PNLIP	1
AP1B1	1
PCYT2	1
GLYATL2	1
MT1G	-1
CTBP1	-1
COLEC12	-1
WWC1	1
THYN1	1
PACS1	1
CBLN2	-1
SMS	1
GLUD1	1
AFF3	1
ST6GALNAC1	1
DNAJC12	-1
SCAP	1
STK39	1
INTS10	1
ABHD2	1
POLR1D	-1
ST7	-1
SLC7A2	-1
HEPACAM	-1
FADS1	1
LRRFIP2	1
MERTK	1
KIAA1921	1
DQ895814	-1
ODC1	1
DBI	1
SOCS2	1
TMEM181	-1
HOMER2	1
PAK1IP1	1
SLC45A3	1
N193	-1
RGS10	-1
TIGA1	-1
MBOAT2	1
SPOCK1	1
KRT18	1
GRB10	-1
TUBA3C	1
PPP2R2A	-1
PTPRM	1
CAMK2N1	-1
PGC	1
MAP7D1	1
SEC24C	1
BRP44	1
SLC25A20	1
LRIG1	1
CR611604	1
KHDRBS3	-1
SLC26A3	1
ATAD2	1
SEMA6A	-1
LIMCH1	1
C1orf21	1
IGF1R	1
MAK	1
PPAP2A	1
SEPP1	1
PNMA3	-1
CREB3L2	1
SLC25A25	1
NDFIP2	1
PRKCH	1
DHCR24	1
KCNG1	-1
RAB4A	1
HERC3	1
TRIB1	-1
SLC39A10	1
AKAP12	1
UBE2G1	1
VWF	-1
SSR1	1
IQWD1	1
FAM113B	-1
SYVN1	1
CMBL	-1
LIN7B	1
HMGCS1	1
ENDOD1	1
PECI	1
MMP16	-1
GLDC	-1
ADH1A	1
GNMT	1
HRSP12	-1
CPEB3	1
UGT2B17	-1
C8orf32	1
ELOVL7	1
ST3GAL1	-1
IQUB	1
CREB3L4	1
ZMYND12	-1
MAPRE2	-1
HIST1H2BD	-1
CENPN	1
GHR	1
MGEA5	-1
MPZL1	1
GOLSYN	-1
CYP2U1	1
SVIL	-1
PPFIBP1	1
TMED9	1
CHKA	1
ALDH1A3	1
B2M	1
TM4SF1	1
TMEM140	-1
PAPSS1	1
FBXO15	-1
DNM1L	1
UAP1	1
NNT	1
FAM105B	1
CAP2	1
NSMAF	1
C7orf41	-1
MICAL1	1
CAMLG	-1
TIMP2	-1
ADCY3	-1
LAMC1	1
TSHZ3	-1
AK023660	1
PPP1R14C	-1
TMEM38B	-1
TARP	1
TLE1	-1
MYBPC1	1
LRRC8A	1
SC4MOL	1
MTP18	1
KBTBD11	-1
MANBA	-1
NCOA7	-1
LONRF1	1
ANKRD16	-1
HK1	1
HGD	1
INSIG1	1
LTA4H	-1
KIAA0194	1
IDH1	1
C5orf21	-1
SDC4	-1
ACAT2	1
C1orf115	-1
TLE6	-1
HIPK2	1
DKFZp666C185	-1
PGM3	1
GMPPB	1
ABCA1	-1
CRIP2	1
ATP6V0A2	1
PPP2CB	1
CXCR4	1
POLR3GL	-1
SUOX	1
CGNL1	-1
TCEA3	-1
CCDC83	-1
ARHGAP1	1
RTN4	-1
SEC24D	1
SUSD4	-1
BCHE	-1
OCLN	-1
CFD	-1
HBQ1	-1
SLC15A2	1
SORD	1
NET1	-1
TRIM68	-1
SERPINI1	-1
RPL17	-1
DNAJB9	1
ELOVL1	1
EMP1	1
ARID5B	1
sep-03	-1
ADD3	-1
PRKD1	-1
PPP1CB	1
UGT2B11	-1
FRYL	1
KIAA0247	-1
SEC23B	1
SH3RF1	-1
REP15	1
AK093867	-1
Kid	1
C9orf45	-1
NEDD4L	1
ATP8B2	1
TPM1	1
KIAA1539	1
OR51E1	-1
VGF	1
SFRS5	-1
SELS	1
RALGPS1	-1
LOC81691	1
RLN2	-1
C12orf24	-1
BLNK	-1
RNF144A	-1
ACAD8	1
IL4R	-1
ABCG1	-1
C14orf132	-1
ADRB2	-1
ZBTB24	1
IMPDH2	-1
STEAP4	1
UGT2B28	1
CAPN5	-1
PACSIN2	1
BX648884	1
TUBA3D	1
BC030123	-1
SLC7A5	-1
RPS29	-1
CRISPLD2	1
NANS	1
EIF4A2	-1
DDC	-1
ACSS2	1
PABPC4	-1
TMEM123	-1
MPZL2	1
LASP1	-1
SLC35F2	1
STRBP	-1
TM7SF1	-1
ADORA2B	-1
MID1	-1
LSS	1
LRRC20	-1
ATP1A1	1
ADH1C	1
SRPK2	-1
KDELR2	1
BCAP29	1
PPFIBP2	1
CAMKK2	1
NINJ1	-1
KCNMA1	1
NIPSNAP3A	-1
PROM2	-1
LOC653391	-1
CERK	-1
ATIC	-1
FLJ45803	-1
PSAT1	-1
MYH10	-1
TBC1D4	1
FBXO38	1
CRELD2	1
VCL	1
