gene	Corr_F	m_call	bin
AR	17.75	GAIN	shared
RNASEH2B	17	LOSS	shared
CYC1	11.666666666666666	GAIN	shared
MYO6	11.333333333333334	LOSS	shared
CECR6	11	LOSS	shared
MAF	10	LOSS	shared
NXN	7	LOSS	shared
UGT2B15	7	LOSS	shared
UFD1L	6.666666666666667	LOSS	shared
MRPS27	6.384615384615385	LOSS	shared
CPNE3	6	GAIN	shared
TMEM44	6	LOSS	shared
WWP1	6	GAIN	shared
AARS	5.5	LOSS	shared
KCTD9	5	LOSS	shared
AP1G1	4.25	LOSS	shared
ARIH1	4	LOSS	shared
BCL9	4	GAIN	shared
CYP51A1	4	GAIN	shared
LGALS8	4	GAIN	shared
MAP1B	4	LOSS	shared
PEX10	4	LOSS	shared
RER1	4	LOSS	shared
SARS	4	LOSS	shared
SEL1L	4	LOSS	shared
TMEM2	3.8461538461538463	LOSS	shared
IRF2BP2	3.727272727272727	GAIN	shared
SKIV2L2	3.5	LOSS	shared
TARBP1	3.5	GAIN	shared
KIF4A	3.3333333333333335	GAIN	shared
KLF4	3.142857142857143	GAIN	shared
CAB39L	3	LOSS	shared
CCNO	3	LOSS	shared
DNAJC12	3	LOSS	shared
FAM19A4	3	LOSS	shared
KDM6A	3	GAIN	shared
KIAA1147	3	LOSS	shared
LONRF1	3	LOSS	shared
PP14571	3	LOSS	shared
PIK3R1	2.6666666666666665	LOSS	shared
AP3M2	2.5	LOSS	shared
ST3GAL1	2.4166666666666665	GAIN	shared
C17orf62	2.3333333333333335	GAIN	shared
CENPN	2.3333333333333335	LOSS	shared
LARS	2.3333333333333335	GAIN	shared
AMACR	2.25	GAIN	shared
POLR3A	2.15	GAIN	shared
ADCK2	2	LOSS	shared
AMIGO2	2	LOSS	shared
ASXL2	2	LOSS	shared
ATP6V0D1	2	LOSS	shared
BMPR1A	2	LOSS	shared
BTG3	2	LOSS	shared
C2	2	GAIN	shared
C4orf32	2	LOSS	shared
CABLES1	2	LOSS	shared
CDH15	2	LOSS	shared
CDYL2	2	LOSS	shared
COASY	2	LOSS	shared
CREB3L4	2	GAIN	shared
DNAJB9	2	LOSS	shared
DUSP12	2	GAIN	shared
EFNB2	2	LOSS	shared
EIF2S3	2	GAIN	shared
FAM60A	2	LOSS	shared
FASN	2	GAIN	shared
FCRLB	2	GAIN	shared
HLA-DMB	2	GAIN	shared
HSD11B2	2	LOSS	shared
IDI1	2	LOSS	shared
IL17C	2	LOSS	shared
JDP2	2	LOSS	shared
LARP4	2	GAIN	shared
LOC642852	2	LOSS	shared
MAP7	2	LOSS	shared
MID1IP1	2	GAIN	shared
MKRN1	2	LOSS	shared
MLX	2	LOSS	shared
MVD	2	LOSS	shared
NKIRAS1	2	LOSS	shared
NR1D2	2	LOSS	shared
OPRK1	2	GAIN	shared
PLEKHB2	2	LOSS	shared
PLEKHG4	2	LOSS	shared
PPP1R11	2	LOSS	shared
PTPRN2	2	GAIN	shared
RAI14	2	GAIN	shared
RFX3	2	LOSS	shared
RGMB	2	LOSS	shared
SDC4	2	LOSS	shared
SLC44A4	2	GAIN	shared
SOX13	2	GAIN	shared
SPATA2L	2	LOSS	shared
TAP1	2	GAIN	shared
TJP3	2	LOSS	shared
TMEM70	2	GAIN	shared
TRIB1	2	GAIN	shared
TRPS1	2	GAIN	shared
TSC22D1	2	LOSS	shared
TTC23L	2	GAIN	shared
USP18	2	LOSS	shared
YWHAQ	2	LOSS	shared
APOLD1	1.9333333333333333	LOSS	shared
WNT7B	1.9333333333333333	LOSS	shared
SLC45A2	1.875	GAIN	shared
HMGCS2	1.75	GAIN	shared
INHBB	1.75	LOSS	shared
CASP6	1.6666666666666667	LOSS	shared
PLA2G12A	1.6666666666666667	LOSS	shared
PLK2	1.6666666666666667	LOSS	shared
PNPLA6	1.6666666666666667	LOSS	shared
SEC24B	1.6666666666666667	LOSS	shared
BCL6	1.619047619047619	GAIN	shared
ATMIN	1.5	LOSS	shared
H2AFV	1.5	GAIN	shared
HERPUD1	1.5	LOSS	shared
HES6	1.5	LOSS	shared
MRPS35	1.4	LOSS	shared
EWSR1	1.375	LOSS	shared
ATP8A1	1.3333333333333333	LOSS	shared
C16orf46	1.3333333333333333	LOSS	shared
FLJ31104	1.3333333333333333	GAIN	shared
PHGDH	1.3333333333333333	GAIN	shared
ZMIZ1	1.3076923076923077	GAIN	shared
CITED2	1.25	LOSS	shared
ETV6	1.25	LOSS	shared
TM9SF4	1.25	LOSS	shared
BCCIP	1.2222222222222223	LOSS	shared
CYB561	1.2	LOSS	shared
FAM198B	1.2	LOSS	shared
GORASP2	1.2	GAIN	shared
IMP3	1.2	LOSS	shared
ETFDH	1.1818181818181819	LOSS	shared
BCLAF1	1.1666666666666667	LOSS	shared
ACPP	1.1538461538461537	GAIN	shared
ARID5B	1.1428571428571428	LOSS	shared
ABCA12	1	LOSS	shared
ACAD11	1	GAIN	shared
ACAT2	1	GAIN	shared
ADAMTS1	1	LOSS	shared
ADRA2C	1	GAIN	shared
AFMID	1	GAIN	shared
ARCN1	1	GAIN	shared
ARMC5	1	LOSS	shared
ATAD2	1	GAIN	shared
ATF4	1	LOSS	shared
ATIC	1	LOSS	shared
ATP2C1	1	GAIN	shared
ATRNL1	1	LOSS	shared
BARD1	1	LOSS	shared
BBX	1	GAIN	shared
BCHE	1	LOSS	shared
BCL11B	1	GAIN	shared
BCL2	1	LOSS	shared
BHLHA15	1	GAIN	shared
BRD3	1	GAIN	shared
BRE	1	LOSS	shared
BRI3	1	GAIN	shared
BTD	1	GAIN	shared
BTG1	1	GAIN	shared
C1orf116	1	LOSS	shared
C20orf24	1	LOSS	shared
C2CD2	1	LOSS	shared
C5orf30	1	LOSS	shared
CAMK1	1	LOSS	shared
CAMK2N1	1	LOSS	shared
CANX	1	GAIN	shared
CBX1	1	LOSS	shared
CCDC6	1	LOSS	shared
CD68	1	LOSS	shared
CDC25A	1	GAIN	shared
CDCA7	1	LOSS	shared
CDK2AP1	1	LOSS	shared
CLP1	1	GAIN	shared
CNKSR3	1	LOSS	shared
COG3	1	LOSS	shared
COL5A1	1	GAIN	shared
CTBP1	1	LOSS	shared
CTSO	1	GAIN	shared
CXCL16	1	LOSS	shared
CYB5D2	1	LOSS	shared
DAPK1	1	GAIN	shared
DDR1	1	GAIN	shared
DDX54	1	GAIN	shared
DEF8	1	LOSS	shared
DEGS1	1	LOSS	shared
DLX1	1	LOSS	shared
DLX2	1	LOSS	shared
DNAH2	1	LOSS	shared
DNAJB14	1	LOSS	shared
DNASE1	1	GAIN	shared
DNM1L	1	GAIN	shared
DSEL	1	LOSS	shared
DUSP16	1	LOSS	shared
DUSP4	1	LOSS	shared
EDEM3	1	GAIN	shared
EFNA5	1	LOSS	shared
EFNB3	1	LOSS	shared
EGLN3	1	LOSS	shared
EIF2AK3	1	LOSS	shared
EIF4A2	1	LOSS	shared
EIF4EBP1	1	GAIN	shared
ELK4	1	GAIN	shared
ENC1	1	LOSS	shared
ENDOD1	1	LOSS	shared
ENO3	1	LOSS	shared
EPHA2	1	LOSS	shared
EPHA7	1	LOSS	shared
EPN3	1	GAIN	shared
FAM102A	1	LOSS	shared
FAM110B	1	GAIN	shared
FAM19A2	1	GAIN	shared
FBXO16	1	LOSS	shared
FBXO28	1	LOSS	shared
FBXO32	1	GAIN	shared
FKBP5	1	GAIN	shared
FOLH1	1	LOSS	shared
FOXO6	1	GAIN	shared
FOXP1	1	GAIN	shared
FSTL1	1	LOSS	shared
FZD3	1	LOSS	shared
GADD45G	1	GAIN	shared
GDF15	1	LOSS	shared
GLRX2	1	GAIN	shared
GLUD1	1	LOSS	shared
GMEB2	1	GAIN	shared
GOLPH3	1	GAIN	shared
GOSR2	1	LOSS	shared
GPATCH4	1	GAIN	shared
GPR137C	1	GAIN	shared
GREB1	1	GAIN	shared
GRHL2	1	GAIN	shared
GSR	1	LOSS	shared
GTF2E2	1	LOSS	shared
GUCY1A3	1	GAIN	shared
GULP1	1	LOSS	shared
H2AFJ	1	LOSS	shared
H2AFY2	1	LOSS	shared
H2AFZ	1	LOSS	shared
HDAC1	1	GAIN	shared
HIVEP1	1	LOSS	shared
HNRNPR	1	LOSS	shared
HOOK3	1	GAIN	shared
HOXB13	1	LOSS	shared
HOXB6	1	LOSS	shared
HOXB7	1	LOSS	shared
HOXB9	1	LOSS	shared
HSD11B1L	1	LOSS	shared
INSIG1	1	LOSS	shared
IQGAP3	1	GAIN	shared
IRX3	1	LOSS	shared
IRX5	1	LOSS	shared
ITGB1	1	LOSS	shared
ITGB1BP1	1	GAIN	shared
KCNG1	1	GAIN	shared
KCNS3	1	LOSS	shared
KCTD3	1	GAIN	shared
KIAA0556	1	LOSS	shared
KIAA1683	1	LOSS	shared
KLF10	1	GAIN	shared
KLF13	1	LOSS	shared
KLF15	1	GAIN	shared
LAMC1	1	LOSS	shared
LFNG	1	GAIN	shared
LGR4	1	GAIN	shared
LIAS	1	GAIN	shared
LIMCH1	1	LOSS	shared
LOC100129203	1	LOSS	shared
LOC100288152	1	GAIN	shared
LOC285847	1	GAIN	shared
LONP2	1	GAIN	shared
LRIG1	1	LOSS	shared
LRIG3	1	LOSS	shared
LRSAM1	1	LOSS	shared
MAPK6	1	GAIN	shared
MAPK9	1	LOSS	shared
MAPRE1	1	LOSS	shared
MBOAT2	1	GAIN	shared
MCOLN1	1	LOSS	shared
MCPH1	1	GAIN	shared
MEF2D	1	GAIN	shared
MFSD10	1	LOSS	shared
MID1	1	GAIN	shared
MLPH	1	LOSS	shared
MME	1	GAIN	shared
MPDU1	1	LOSS	shared
MPHOSPH9	1	LOSS	shared
MRPL12	1	GAIN	shared
