chr	start	end	size	ARtal 	enhid
12	52520164	52520916	753	88	1
3	188665536	188666258	723	88	2
11	114049816	114050507	692	87	3
1	9496218	9496902	685	87	4
1	231819995	231820702	708	87	5
12	46887559	46888225	667	87	6
16	10614177	10614865	689	87	7
16	78156849	78157462	614	87	8
13	110161770	110162426	657	86	9
20	56348192	56348854	663	86	10
3	14290322	14291059	738	86	11
9	100937933	100938613	681	86	12
12	94207720	94208461	742	86	13
8	124417573	124418298	726	86	14
1	8319095	8319902	808	85	15
1	32967395	32968052	658	85	16
9	82104396	82105135	740	85	17
13	45428577	45429286	710	85	18
14	29421883	29422519	637	85	19
17	53684929	53685715	787	85	20
19	46246164	46246850	687	85	21
4	78485204	78485918	715	85	22
7	101026073	101026722	650	85	23
13	95870286	95870999	714	85	24
2	168943279	168943943	665	85	25
3	122370349	122371015	667	85	26
1	57253745	57254463	719	84	27
10	110481511	110482210	700	84	28
18	21264422	21265142	721	84	29
12	64983870	64984529	660	84	30
12	102009766	102010388	623	84	31
14	76002052	76002726	675	84	32
15	23791238	23791858	621	84	33
2	222475263	222475893	631	84	34
3	48273512	48274236	725	84	35
8	48647492	48648182	691	84	36
8	81158898	81159561	664	84	37
9	89020011	89020661	651	84	38
1	95209345	95210009	665	84	39
10	123880450	123881072	623	84	40
12	94985625	94986301	677	84	41
15	89672801	89673505	705	84	42
2	49533949	49534659	711	84	43
3	7423886	7424672	787	84	44
3	123346371	123347099	729	84	45
1	20358845	20359502	658	83	46
10	16584600	16585223	624	83	47
12	61978561	61979314	754	83	48
17	69634715	69635349	635	83	49
19	52463660	52464415	756	83	50
2	227603324	227604059	736	83	51
5	113668123	113668936	814	83	52
5	172438473	172439131	659	83	53
7	25396270	25396925	656	83	54
7	27975921	27976675	755	83	55
7	105836920	105837599	680	83	56
8	129169432	129170059	628	83	57
13	49973913	49974637	725	83	58
6	35695589	35696243	655	83	59
11	120911657	120912306	650	83	60
11	129895134	129895782	649	83	61
13	34909615	34910237	623	83	62
2	9141114	9141769	656	83	63
2	100684167	100684843	677	83	64
3	24181384	24182099	716	83	65
6	14598516	14599143	628	83	66
9	14106560	14107233	674	83	67
6	142697071	142697752	682	83	68
12	130034879	130035572	694	82	69
15	35600821	35601454	634	82	70
18	31506935	31507715	781	82	71
19	4991608	4992462	855	82	72
3	106397547	106398386	840	82	73
4	12862984	12863640	657	82	74
4	89435900	89436636	737	82	75
5	71306095	71306773	679	82	76
8	39689469	39690109	641	82	77
11	57270258	57270920	663	82	78
11	114033407	114034054	648	82	79
12	111505216	111505898	683	82	80
14	64981744	64982404	661	82	81
2	38366011	38366637	627	82	82
20	56338170	56338855	686	82	83
7	66935270	66935881	612	82	84
8	25265530	25266234	705	82	85
2	18981577	18982243	667	81	86
1	192813395	192814050	656	81	87
2	41675588	41676286	699	81	88
2	215259605	215260264	660	81	89
4	77492340	77492991	652	81	90
6	94649954	94650640	687	81	91
7	78338921	78339531	611	81	92
7	95179274	95179999	726	81	93
1	69554024	69554658	635	81	94
1	98809797	98810458	662	81	95
1	52414167	52414908	742	81	96
15	80070398	80071162	765	81	97
2	120095244	120095893	650	81	98
2	223650693	223651419	727	81	99
4	6958823	6959517	695	81	100
8	75488509	75489182	674	81	101
9	75941986	75942586	601	81	102
