"gene"	"chr"	"start"	"end"	"size"	"ARtal"	"enhid"
"C12orf80"	"12"	52520164	52520916	753	88	1
"LINC00592"	"12"	52520164	52520916	753	88	1
"KRT86"	"12"	52520164	52520916	753	88	1
"KRT81"	"12"	52520164	52520916	753	88	1
"KRT83"	"12"	52520164	52520916	753	88	1
"KRT84"	"12"	52520164	52520916	753	88	1
"KRT82"	"12"	52520164	52520916	753	88	1
"KRT74"	"12"	52520164	52520916	753	88	1
"KRT2"	"12"	52520164	52520916	753	88	1
"KRT76"	"12"	52520164	52520916	753	88	1
"KRT18"	"12"	52520164	52520916	753	88	1
"KRT8"	"12"	52520164	52520916	753	88	1
"EIF4B"	"12"	52520164	52520916	753	88	1
"CSAD"	"12"	52520164	52520916	753	88	1
"ZNF740"	"12"	52520164	52520916	753	88	1
"ANKRD33"	"12"	52520164	52520916	753	88	1
"ACVR1B"	"12"	52520164	52520916	753	88	1
"GRASP"	"12"	52520164	52520916	753	88	1
"NR4A1"	"12"	52520164	52520916	753	88	1
"ATG101"	"12"	52520164	52520916	753	88	1
"C11orf71"	"11"	114049816	114050507	692	87	3
"RBM7"	"11"	114049816	114050507	692	87	3
"USP28"	"11"	114049816	114050507	692	87	3
"ZBTB16"	"11"	114049816	114050507	692	87	3
"SPSB1"	"1"	9496218	9496902	685	87	4
"ARID2"	"12"	46887559	46888225	667	87	6
"LINC00938"	"12"	46887559	46888225	667	87	6
"SLC38A1"	"12"	46887559	46888225	667	87	6
"SLC38A2"	"12"	46887559	46888225	667	87	6
"LOC100288798"	"12"	46887559	46888225	667	87	6
"EMP2"	"16"	10614177	10614865	689	87	7
"NUBP1"	"16"	10614177	10614865	689	87	7
"MAF"	"16"	78156849	78157462	614	87	8
"WWOX"	"16"	78156849	78157462	614	87	8
"PMEPA1"	"20"	56348192	56348854	663	86	10
"NKILA"	"20"	56348192	56348854	663	86	10
"CORO2A"	"9"	100937933	100938613	681	86	12
"TBC1D2"	"9"	100937933	100938613	681	86	12
"TRMO"	"9"	100937933	100938613	681	86	12
"NANS"	"9"	100937933	100938613	681	86	12
"TRIM14"	"9"	100937933	100938613	681	86	12
"LOC105369911"	"12"	94207720	94208461	742	86	13
"SOCS2-AS1"	"12"	94207720	94208461	742	86	13
"SOCS2"	"12"	94207720	94208461	742	86	13
"CRADD"	"12"	94207720	94208461	742	86	13
"LOC101928731"	"12"	94207720	94208461	742	86	13
"WDYHV1"	"8"	124417573	124418298	726	86	14
"FBXO32"	"8"	124417573	124418298	726	86	14
"FAM91A1"	"8"	124417573	124418298	726	86	14
"RNF139-AS1"	"8"	124417573	124418298	726	86	14
"RNF139"	"8"	124417573	124418298	726	86	14
"ZHX2"	"8"	124417573	124418298	726	86	14
"C8orf76"	"8"	124417573	124418298	726	86	14
"ZHX1-C8orf76"	"8"	124417573	124418298	726	86	14
"ZHX1"	"8"	124417573	124418298	726	86	14
"ATAD2"	"8"	124417573	124418298	726	86	14
"SLC45A1"	"1"	8319095	8319902	808	85	15
"ENO1"	"1"	8319095	8319902	808	85	15
"ENO1-AS1"	"1"	8319095	8319902	808	85	15
"PARK7"	"1"	8319095	8319902	808	85	15
