chr	start	end	size	artal	enhid
chr12	52520164	52520916	753	88	1
chr3	188665536	188666258	723	88	2
chr11	114049816	114050507	692	87	3
chr1	9496218	9496902	685	87	4
chr1	231819995	231820702	708	87	5
chr12	46887559	46888225	667	87	6
chr16	10614177	10614865	689	87	7
chr16	78156849	78157462	614	87	8
chr13	110161770	110162426	657	86	9
chr20	56348192	56348854	663	86	10
chr3	14290322	14291059	738	86	11
chr9	100937933	100938613	681	86	12
chr12	94207720	94208461	742	86	13
chr8	124417573	124418298	726	86	14
chr1	8319095	8319902	808	85	15
chr1	32967395	32968052	658	85	16
chr9	82104396	82105135	740	85	17
chr13	45428577	45429286	710	85	18
chr14	29421883	29422519	637	85	19
chr17	53684929	53685715	787	85	20
chr19	46246164	46246850	687	85	21
chr4	78485204	78485918	715	85	22
chr7	101026073	101026722	650	85	23
chr13	95870286	95870999	714	85	24
chr2	168943279	168943943	665	85	25
chr3	122370349	122371015	667	85	26
chr1	57253745	57254463	719	84	27
chr10	110481511	110482210	700	84	28
chr18	21264422	21265142	721	84	29
chr12	64983870	64984529	660	84	30
chr12	102009766	102010388	623	84	31
chr14	76002052	76002726	675	84	32
chr15	23791238	23791858	621	84	33
chr2	222475263	222475893	631	84	34
chr3	48273512	48274236	725	84	35
chr8	48647492	48648182	691	84	36
chr8	81158898	81159561	664	84	37
chr9	89020011	89020661	651	84	38
chr1	95209345	95210009	665	84	39
chr10	123880450	123881072	623	84	40
chr12	94985625	94986301	677	84	41
chr15	89672801	89673505	705	84	42
chr2	49533949	49534659	711	84	43
chr3	7423886	7424672	787	84	44
chr3	123346371	123347099	729	84	45
chr1	20358845	20359502	658	83	46
chr10	16584600	16585223	624	83	47
chr12	61978561	61979314	754	83	48
chr17	69634715	69635349	635	83	49
chr19	52463660	52464415	756	83	50
chr2	227603324	227604059	736	83	51
chr5	113668123	113668936	814	83	52
chr5	172438473	172439131	659	83	53
chr7	25396270	25396925	656	83	54
chr7	27975921	27976675	755	83	55
chr7	105836920	105837599	680	83	56
chr8	129169432	129170059	628	83	57
chr13	49973913	49974637	725	83	58
chr6	35695589	35696243	655	83	59
chr11	120911657	120912306	650	83	60
chr11	129895134	129895782	649	83	61
chr13	34909615	34910237	623	83	62
chr2	9141114	9141769	656	83	63
chr2	100684167	100684843	677	83	64
chr3	24181384	24182099	716	83	65
chr6	14598516	14599143	628	83	66
chr9	14106560	14107233	674	83	67
chr6	142697071	142697752	682	83	68
chr12	130034879	130035572	694	82	69
chr15	35600821	35601454	634	82	70
chr18	31506935	31507715	781	82	71
chr19	4991608	4992462	855	82	72
chr3	106397547	106398386	840	82	73
chr4	12862984	12863640	657	82	74
chr4	89435900	89436636	737	82	75
chr5	71306095	71306773	679	82	76
chr8	39689469	39690109	641	82	77
chr11	57270258	57270920	663	82	78
chr11	114033407	114034054	648	82	79
chr12	111505216	111505898	683	82	80
chr14	64981744	64982404	661	82	81
chr2	38366011	38366637	627	82	82
chr20	56338170	56338855	686	82	83
chr7	66935270	66935881	612	82	84
chr8	25265530	25266234	705	82	85
chr2	18981577	18982243	667	81	86
chr1	192813395	192814050	656	81	87
chr2	41675588	41676286	699	81	88
chr2	215259605	215260264	660	81	89
chr4	77492340	77492991	652	81	90
chr6	94649954	94650640	687	81	91
chr7	78338921	78339531	611	81	92
chr7	95179274	95179999	726	81	93
chr1	69554024	69554658	635	81	94
chr1	98809797	98810458	662	81	95
chr1	52414167	52414908	742	81	96
chr15	80070398	80071162	765	81	97
chr2	120095244	120095893	650	81	98
chr2	223650693	223651419	727	81	99
chr4	6958823	6959517	695	81	100
chr8	75488509	75489182	674	81	101
chr9	75941986	75942586	601	81	102
chr3	39880886	39881571	686	81	103
chr7	89860521	89861175	655	81	104
chr1	192830802	192831524	723	80	105
chr11	35083062	35083726	665	80	106
chr15	45431793	45432428	636	80	107
chr15	99332064	99332751	688	80	108
chr17	57946679	57947376	698	80	109
chr17	80071729	80072384	656	80	110
chr2	5251693	5252363	671	80	111
chr2	224084893	224085519	627	80	112
chr14	100433047	100433709	663	80	113
chr5	119388745	119389494	750	80	114
chr21	44151430	44152201	772	80	115
chr6	27074152	27074810	659	80	116
chr8	102507342	102507996	655	80	117
chr8	119800996	119801609	614	80	118
chr4	20640884	20641517	634	80	119
chr9	99366005	99366661	657	80	120
chr4	154190635	154191291	657	80	121
chr5	40306984	40307647	664	80	122
chr5	114512044	114512831	788	80	123
chr6	139806711	139807389	679	80	124
chrX	43566933	43567639	707	80	125
chr2	194339561	194340267	707	80	126
chr3	59591459	59592172	714	80	127
chr5	95325218	95325897	680	80	128
chr6	35690108	35690752	645	80	129
chr9	73095510	73096211	702	80	130
chr1	37964668	37965329	662	79	131
chr1	77625920	77626563	644	79	132
chr1	184047896	184048550	655	79	133
chr1	185503845	185504502	658	79	134
chr12	28431314	28431969	656	79	135
chr13	89600687	89601326	640	79	136
chr13	95687835	95688476	642	79	137
chr14	36398302	36398926	625	79	138
chr16	6679038	6679686	649	79	139
chr16	72711626	72712302	677	79	140
chr19	52486366	52487264	899	79	141
chr2	100615343	100615999	657	79	142
chr2	101696419	101697269	851	79	143
chr2	148245331	148245953	623	79	144
chr2	234861893	234862519	627	79	145
chr3	148342886	148343578	693	79	146
chr4	8353485	8354150	666	79	147
chr4	92761441	92762111	671	79	148
chr5	14588945	14589681	737	79	149
chr5	14721995	14722644	650	79	150
chr9	92279705	92280335	631	79	151
chr7	51674321	51674975	655	79	152
chr1	145246172	145246709	538	79	153
chr12	95283214	95283909	696	79	154
chr18	39958698	39959445	748	79	155
chr3	104329902	104330575	674	79	156
chr4	129581318	129581955	638	79	157
chr6	138580089	138580721	633	79	158
chr7	90335474	90336124	651	79	159
chr8	61812321	61812934	614	79	160
chr9	24381213	24382036	824	79	161
chr9	35258555	35259162	608	79	162
chr12	22302106	22302734	629	79	163
chr21	17452191	17452923	733	79	164
chr1	62106195	62106902	708	78	165
chr11	48077207	48077904	698	78	166
chr11	62355156	62355802	647	78	167
chr11	76512746	76513354	609	78	168
chr16	72222206	72222894	689	78	169
chr19	13102011	13102674	664	78	170
chr19	39953814	39954565	752	78	171
chr2	35839611	35840255	645	78	172
chr2	108836419	108837071	653	78	173
chr3	194591699	194592449	751	78	174
chr4	149613211	149613855	645	78	175
chr5	14716845	14717634	790	78	176
chr5	55217257	55217973	717	78	177
chr7	82896273	82896931	659	78	178
chr8	38883109	38883739	631	78	179
chr9	114205613	114206313	701	78	180
chr12	115093714	115094477	764	78	181
chr15	33322448	33323114	667	78	182
chr3	104317895	104318536	642	78	183
chr4	173959500	173960190	691	78	184
chr6	138552543	138553239	697	78	185
chr11	65956667	65957306	640	78	186
chr16	22223199	22223877	679	78	187
chr18	37368344	37368945	602	78	188
chr2	189438044	189438714	671	78	189
chr2	207687749	207688419	671	78	190
chr6	22521116	22521754	639	78	191
chr8	27139880	27140482	603	78	192
chr1	36697901	36698552	652	77	193
chr1	49798500	49799147	648	77	194
chr1	96354552	96355229	678	77	195
chr10	80489500	80490162	663	77	196
chr14	53012249	53012849	601	77	197
chr15	52945654	52946338	685	77	198
chr17	66292947	66293625	679	77	199
chr2	144975317	144975992	676	77	200
chr2	227033436	227034099	664	77	201
chr20	45962659	45963412	754	77	202
chr3	169023319	169024023	705	77	203
chr4	6860636	6861284	649	77	204
chr5	16547430	16548057	628	77	205
chr5	167780173	167780931	759	77	206
chr6	142671393	142672011	619	77	207
chr7	105857471	105858149	679	77	208
chr9	93317655	93318311	657	77	209
chr9	112063263	112063896	634	77	210
chrX	53100690	53101361	672	77	211
chr11	114030658	114031258	601	77	212
chr12	97962364	97962972	609	77	213
chr11	82850276	82850952	677	77	214
chr12	47186625	47187264	640	77	215
chr14	35848387	35849004	618	77	216
chr15	83588034	83588738	705	77	217
chr2	169134867	169135564	698	77	218
chr6	49632393	49633006	614	77	219
chr8	134339032	134339695	664	77	220
chr2	74104528	74105219	692	77	221
chr3	37123683	37124299	617	77	222
chr7	52849870	52850481	612	77	223
chr1	69010293	69010908	616	76	224
chr1	34125272	34126345	1074	76	225
chr1	217075929	217076651	723	76	226
chr13	24776220	24776851	632	76	227
chr18	74974537	74975501	965	76	228
chr2	195886717	195887344	628	76	229
chr3	140947165	140947801	637	76	230
chr4	47854034	47854600	567	76	231
chr4	96257850	96258567	718	76	232
chr5	75843244	75843880	637	76	233
chr6	35699461	35700267	807	76	234
chr7	96423420	96424342	923	76	235
